train_size,MAE_test,lower_ci_mae_test,upper_ci_mae_test
5.0,105.6374556350708,70.5093953704834,149.2354630279541
10.0,89.23592697143555,53.152199020385744,146.41817829132083
15.0,70.56068701426189,52.62299735387167,97.21835613250731
20.0,69.70919131278991,48.893511896133425,100.92427745819091
25.0,55.43084981441498,35.69247241020202,78.38068062464396
30.0,53.678034222920736,41.44156598726909,76.14611473083494
35.0,44.89215017046247,31.703212370191306,61.20145406723022
40.0,39.919696474075316,31.801455003023147,62.30473853349683
45.0,39.683636029561356,28.93172723982069,52.96807933913336
50.0,34.67494839668274,26.256655387878418,41.13216459751129
55.0,34.38306650681929,27.020200031453914,43.385412940112026
60.0,30.890481114387512,26.938533810774484,38.21630456447601
65.0,30.77080939366267,25.582416670139022,40.25915480760426
70.0,29.17936985833304,22.85500719206674,35.55848549093519
75.0,27.46941207885742,22.69901294390361,32.66741035779317
80.0,27.633217030763625,24.005607545375824,32.65383340716362
85.0,26.80454668718226,23.13170541875503,30.478484538022208
90.0,26.861207977930707,22.30762821833293,33.28434288766649
95.0,25.538682887428685,21.673590499476386,29.13747189923337
100.0,24.835217781066895,21.60771348237991,27.70383102178574
