train_size,MAE_test,lower_ci_mae_test,upper_ci_mae_test
5.0,306.2521043014526,64.33064910888672,936.8943835449217
10.0,150.28196069717407,43.277961053848266,627.7727099037168
15.0,63.27511045455933,28.22345306078593,197.42971895853657
20.0,41.41355763435364,22.289114683866504,86.15616467475886
25.0,28.034446996450423,16.14365207652251,49.88708394368488
30.0,28.56093047142029,14.246286366780598,70.97147586186722
35.0,16.17911591870444,9.555524282796043,29.75208919388906
40.0,13.426286226511001,7.884769979119301,21.393197962641707
45.0,12.548134483231438,7.332150378492144,21.130896083513893
50.0,10.455585978031158,6.758771849870682,14.745659563541407
55.0,9.283934608372775,6.730815899372101,12.905798569592559
60.0,9.450757521390916,6.579307385285695,13.244055515527727
65.0,8.894274032115936,5.425765676681812,15.6509172788033
70.0,8.548029960904802,5.469381041186196,14.70569246496472
75.0,7.922241733074188,5.98223670442899,11.825734190146127
80.0,7.611277955770492,6.024215611442924,10.095959576964377
85.0,7.652134169550503,5.729581806589575,10.138296374152688
90.0,7.1106459505028194,5.618188472588858,9.72869302564197
95.0,7.5748205969208176,5.62945154968061,9.514012864702625
100.0,6.569336262345314,4.959522552490235,9.114243079423902
