train_size,MAE_test,lower_ci_mae_test,upper_ci_mae_test
5.0,129.24912366796343,97.72604420225652,196.18134369568656
10.0,101.7866118772285,79.8190239459003,151.83836486470648
15.0,86.30543601643518,67.24819639236446,123.49070192406757
20.0,69.12964531705812,20.376430337894625,112.86718155224057
25.0,49.356516427215254,20.378672262345344,79.32915539116266
30.0,35.083781220091744,12.199859606523667,69.01479389108451
35.0,40.96563548056041,15.005792311139892,70.92737409505142
40.0,32.10862548819011,11.794770085614886,64.84112265297043
45.0,24.597107654633962,11.238690070724337,46.76065630529988
50.0,20.761432659616666,11.172383200032595,44.05486925513586
55.0,21.122529351561433,11.208369304147663,48.342657497952416
60.0,17.017937530569476,10.941431273919541,36.43688389006457
65.0,16.338504364959455,10.838046421243803,40.537613560298695
70.0,16.317836549078002,10.710189888398624,42.263232452590884
75.0,13.833758481486296,10.83313035745367,23.17046163256
80.0,13.830463587734112,10.735257948646813,33.45529032930268
85.0,12.603082541644039,10.803538841742236,22.46008603201872
90.0,13.82557891302829,10.671401853713476,27.446821917440232
95.0,12.039318161283719,10.532760418552982,18.976273588589404
100.0,12.018453119266288,10.625071799182226,18.682331384642694
