train_size,MAE_test,lower_ci_mae_test,upper_ci_mae_test
5.0,103.8901322555542,82.91479885101319,138.11381366729734
10.0,91.14675701141357,66.2986173248291,118.1978336715698
15.0,86.1844141515096,59.644431781768795,109.9014677365621
20.0,84.30478434562683,63.73988226413727,102.00891365528106
25.0,67.38486489454905,51.07583069006602,94.85381086667377
30.0,65.08079509735107,51.50685218175253,90.8293045298258
35.0,55.42429895401001,35.38079174586705,76.59427743639264
40.0,49.34414484500885,34.877312493324276,64.23228904008865
45.0,42.468633323245584,31.259424485100638,57.12007173432244
50.0,42.57742086410523,28.877367234230043,60.12049477577209
55.0,37.64186554822055,26.379385688088156,54.95933186357671
60.0,35.560160891215006,28.97412561178207,50.946766185760474
65.0,34.61479485585139,27.31272438489474,46.37869895054743
70.0,33.40215012686593,26.216760880606515,50.52067085334231
75.0,32.1157266553243,25.649696750640867,44.0288221581777
80.0,29.82716194987297,24.56584937274456,41.61724363267422
85.0,29.210611578997447,24.345504973916444,43.14144260743084
90.0,28.50520690812005,23.686662626266482,39.16019058227539
95.0,27.31016072724995,23.021116743589705,31.76161433019136
100.0,26.403320674896243,23.588399276733398,30.313420233726497
