train_size,MAE_test,lower_ci_mae_test,upper_ci_mae_test
5.0,144.97253411877767,117.33236357937733,199.95447516164808
10.0,133.33980444256784,106.5492139775811,147.72697663578043
15.0,126.85931807618347,100.6923031894066,147.7996565842355
20.0,125.39441120069061,102.76432600187718,147.2749244196193
25.0,123.97934615081586,95.46763817974265,139.85276084873254
30.0,124.00321568822497,100.68736427061181,139.6807196595988
35.0,124.26825995180411,87.87737270311868,144.24198907325763
40.0,129.47303952968568,93.74416987177302,145.44675760992442
45.0,128.71113517664324,106.49652599989044,143.5454745058964
50.0,128.07247008182674,98.89903864990393,148.57731044214376
55.0,123.2713038940486,99.62816532130225,141.43216597053402
60.0,125.5842425330903,105.77138874089327,139.3134124136
65.0,116.83012993998663,103.08015022080968,133.60769742930057
70.0,123.84422158713001,104.84545572470934,141.43252804715777
75.0,120.19748885177592,98.73251999033779,139.9444122307622
80.0,121.7211902458022,98.52634336706235,143.14172623015787
85.0,121.48861220562817,108.90110837181898,135.72826500250574
90.0,123.69988452466177,95.64530373612915,140.63295948868497
95.0,128.55502159709312,116.71479570021025,141.42195081193475
100.0,124.69474251255208,112.80606515418751,138.69864771013667
