train_size,MAE_test,lower_ci_mae_test,upper_ci_mae_test
5.0,233.74275661468505,61.01507362365723,617.2170083618162
10.0,95.68203304290772,33.069552946090695,291.129385242462
15.0,48.29530166308085,24.68884336789449,156.5469682439167
20.0,35.81547699213028,23.493320142030715,66.00109048128127
25.0,23.518519004185997,16.429229460159938,34.06817858616511
30.0,23.863493138949075,15.546412360668183,61.149516003926536
35.0,15.788231270653862,9.012742859976633,25.062662376676283
40.0,12.856823953986169,7.971663217246532,20.239589703083034
45.0,11.625640879737007,7.1311978883213465,19.27129396862454
50.0,10.44275826215744,6.517821717262269,18.31769674062728
55.0,8.735037837245248,6.225876822254874,12.1225172270428
60.0,8.439725595712662,6.080244651436805,12.730935185154278
65.0,7.725067606339088,5.320388607336925,14.851518554870887
70.0,7.890893491676875,5.130443350757871,14.118197430883127
75.0,7.1250988928476975,5.0630275591214495,10.548592625459033
80.0,6.911080872267485,5.268569377064705,10.20081544369459
85.0,6.355381866062389,5.102627832048079,8.85916595879723
90.0,6.79960282113817,4.714089619119962,11.399822282791137
95.0,6.780078311970359,4.648552409598702,13.694494544204904
100.0,5.901131572723388,3.830802860558033,8.524570516049861
